Sãkė, kàd jìs nukrìto nuõ kálno.	Sakė, kad jis nukrito nuo kalno.	They said he fell from a mountain.
"Šią̃ nãktį į̃ jū́rą tùri nueitì paláiminimas."	"Šią naktį į jūrą turi nueiti palaiminimas."	The ship must set sail this night.
Profèsorius papãsakojo sàvo studeñtams apiẽ mė̃sėdžio áugalo egzistãvimą.	Profesorius papasakojo savo studentams apie mėsėdžio augalo egzistavimą.	At the same time, professor Bulwar explained to his pupils the cruelty of carnivorous plants.
"Valstiẽčiai, kuriẽ àtnešė ligónį, vìsiškai išprotė́jo..."	"Valstiečiai, kurie atnešė ligonį, visiškai išprotėjo..."	"The patient who was brought in yesterday has gone out of his mind!"
Šiojè pilyjè miegójau gañ sunkeĩ, bèt nesijáudink...	Šioje pilyje miegojau gan sunkei, bet nesijaudink...	One's dreams are heavy in this deserted castle, but do not fear...
"Turiù eitì toliaũ... pasiektì namùs trumpiáusiu keliù !"	"Turiu eiti toliau... pasiekti namus trumpiausiu keliu !"	"No I have to get away - reach home by the shortest possible way!"
Lýg kokià epidèmija, taĩ išplìto põ vìsą laĩvą.	Lyg kokia epidemija, tai išplito po visą laivą.	Like an epidemic it spread over the entire ship.
Jūreĩvis, kurìs paródė simptòmą, taĩp pàt užsìkrėtė.	Jūreivis, kuris parodė simptomą, taip pat užsikrėtė.	The first sailor who had shown the symptoms was followed by the entire crew into the dark grave of the waters.
"Apžiūrė́jau vìską... Añt bòrto nė̃ víeno gývo."	"Apžiūrėjau viską... Ant borto nė vieno gyvo."	"I have examined everything - there is no living soul on board."
Sãko, kàd kajùtėje ỹra keistàs keleĩvis.	Sako, kad kajutėje yra keistas keleivis.	Mate has begun to hallicunate, says a strange passenger is below deck. Course: SE.
- Pãnika añt bòrto - Trỹs výrai mìršta	- Panika ant borto - Trys vyrai miršta	- Panic on board - Three men dead already - mate out of his mind
- Padėjė́jas išprotė́ja - Žiùrkės laĩvo triumè.	- Padėjėjas išprotėja - Žiurkės laivo triume.	- Rats in the hold - I fear the plague...
Kõl kàs jì negãli atsispìrti keistam̃ knỹgos žãvesiui.	Kol kas ji negali atsispirti keistam knygos žavesiui.	Yet she was unable to withstand its strange fascination.
"Jìs stẽbi manè - kiekvíeną vãkarą....!"	"Jis stebi mane - kiekvieną vakarą....!"	"Look! Every night, in front of me..."
Nà, põnai, pažiūrė́kime, kõ dár išmókote.	Na, ponai, pažiūrėkime, ko dar išmokote.	Well gentlemen, let's see what else you have learned.
Markàs Antònijus nebūtų̃ pasãkęs sàvo kalbõs?	Markas Antonijus nebūtų pasakęs savo kalbos?	Mark Anthony hadn't held his oration?
- Ìš kur̃ gavaĩ tàs núotraukas?	- Iš kur gavai tas nuotraukas?	- How did you get those photos?
Tikriáusiai kàs nórs jàs įkìšo į̃ màno pòrtfelį.	Tikriausiai kas nors jas įkišo į mano portfelį.	Somebody must have put them in my briefcase.
Bèt màno pianòlos Niẽkas negaũs paliestì	Bet mano pianolos Niekas negaus paliesti	But as formypianola No one gets to touch it
Jéi kàs nórs nóri mán kompãniją palaikýti	Jei kas nors nori man kompaniją palaikyti	Ifsomeone wants to accompany me
Põnai, šįvãkar àš ką̃ nórs išsiriñksiu	Ponai, šįvakar aš ką nors išsirinksiu	Guys, tonight I'm gonna pick someone
Põnai, šįvãkar àš ką̃ nórs išsiriñksiu	Ponai, šįvakar aš ką nors išsirinksiu	Guys, tonight I'm gonna pick someone
Výrą, tìkrą výrą Mán nusibódo jaunuõliai	Vyrą, tikrą vyrą Man nusibodo jaunuoliai	A man, a real man I'm fed up with the young ones
Trumpaĩ, výrą, kurìs dár nóri bučiúotis ir̃ taĩ sùgeba	Trumpai, vyrą, kuris dar nori bučiuotis ir tai sugeba	In short, a man who still wants To kiss and is good at it
Põnai, šįvãkar àš ką̃ nórs išsiriñksiu	Ponai, šįvakar aš ką nors išsirinksiu	Guys, tonight I'm gonna pick someone
Ką̃, põ gãlais, jū̃s dãrote màno miegamãjame?	Ką, po galais, jūs darote mano miegamajame?	What in the world are you doing in my bedroom?
Jū̃s vẽdat ìš kẽlio màno mókinius.	Jūs vedat iš kelio mano mokinius.	You are corrupting my students.
Mãnote, kàd àš laikaũ vaikų̃ daržẽlį?	Manote, kad aš laikau vaikų darželį?	Do you think I'm running a kindergarten?
Norė́čiau sužinóti, kur̃ màno skrybėlė̃... Mečiaũ gertì.	Norėčiau sužinoti, kur mano skrybėlė... Mečiau gerti.	I wish I knew where my hat... I've quit drinking.
Mãnai manè nórs kíek kãso "mẽnas"?	Manai mane nors kiek kaso "menas"?	You think I give a damn about "art"?
Sù kókiu tipù tù čià dabar̃ šlaistaĩsi?	Su kokiu tipu tu čia dabar šlaistaisi?	What fruit are you hanging out with now?
Mán labaĩ malonù susipažìnti sù víena miẽsto iškilių̃ asmenýbių.	Man labai malonu susipažinti su viena miesto iškilių asmenybių.	I am delighted to meet one of the town's eminent personalities.
Profèsoriau, léiskite mán pagirtì jū́sų skõnį.	Profesoriau, leiskite man pagirti jūsų skonį.	Professor, let me commend you on your taste.
Àš atėjaũ, nès jū̃s vẽdate ìš kẽlio màno mókinius.	Aš atėjau, nes jūs vedate iš kelio mano mokinius.	I am here because you harbor my students.
Atstók nuõ manę̃s sù sàvo ángliškom nesą́monėm!	Atstok nuo manęs su savo angliškom nesąmonėm!	Leave me alone with that English nonsense!
Ir̃ tù atėjaĩ nė̃ trupùčio dė̃l manę̃s?	Ir tu atėjai nė trupučio dėl manęs?	And you didn't come because of me at all?
Šįvãkar jū̃s čià nè oficialiù reĩkalu, manýčiau.	Šįvakar jūs čia ne oficialiu reikalu, manyčiau.	Tonight you're not here in official capacity, I assume.
Bijaũ, kàd netiñkamai elgiaũsi pràeitą vãkarą.	Bijau, kad netinkamai elgiausi praeitą vakarą.	I'm afraid I didn't behave properly last night.
Jū́sų berniùkai turė́tų jùs tókį pamatýti.	Jūsų berniukai turėtų jus tokį pamatyti.	Your boys should see you like this.
Tiẽsą sãkant, jū̃s visái patrauklùs výras.	Tiesą sakant, jūs visai patrauklus vyras.	Actually, you're a pretty handsome man.
Tõ jūreĩvio pinigìnė plýšta per̃ siūlès.	To jūreivio piniginė plyšta per siūles.	That's sailor's wallet is bursting.
Kaĩp tù drįstì kabinė́tis priẽ šiõs dãmos?	Kaip tu drįsti kabinėtis prie šios damos?	How dare you molest this lady?
Õ jū̃s užsirãšęs pàs "šią̃ dãmą"?	O jūs užsirašęs pas "šią damą"?	Do you have a subcription to "this lady"?
Atléiskite, Profèsoriau, bèt polìcija jaũ čià.	Atleiskite, Profesoriau, bet policija jau čia.	Excuse me, Professor, but the police are here.
Atstókit nuõ manę̃s sù tõm nesą́monėm.	Atstokit nuo manęs su tom nesąmonėm.	Leave me alone with that nonsense.
Šìs výras nóri pateiktì jùms káltinimus.	Šis vyras nori pateikti jums kaltinimus.	This man wants to press charges against you.
Manaũ, jū̃s suprañtate, kókias pãsekmes šìs į́vykis jùms turė̃s.	Manau, jūs suprantate, kokias pasekmes šis įvykis jums turės.	I assume you realize the consequences of this incident for you.
Dė̃l Diẽvo méilės, kàs atsitìko, Profèsoriau?	Dėl Dievo meilės, kas atsitiko, Profesoriau?	For God's sake, what's wrong, Professor?
Dúosiu jùms ypatìngų váistų ìš sàvo asmenìnės váistinės.	Duosiu jums ypatingų vaistų iš savo asmeninės vaistinės.	I'll get you some special medicine from my personal pharmacy.
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove
Norė́čiau jùms pristatýti víeną ypatìngą svẽčią,	Norėčiau jums pristatyti vieną ypatingą svečią,	I would like to introduce to you our very special guest for tonight,
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove
Tokià màno prìgimtis Galiù tìk mylė́ti	Tokia mano prigimtis Galiu tik mylėti	It is my nature I can only love
Sakýk, mielàsis, tù vìsąlaik taĩp knarkì?	Sakyk, mielasis, tu visąlaik taip knarki?	Say, sweetheart, do you always snore like this?
Àš jùs visùs į̃ kalė́jimą pasodìnsiu!	Aš jus visus į kalėjimą pasodinsiu!	I'll have you all put in jail!
Jū̃s kal̃bate apiẽ màno bū́simą žmóną!	Jūs kalbate apie mano būsimą žmoną!	You're talking about my future wife!
Ar̃ priim̃site šìtai kaĩp dóvaną nuõ manę̃s?	Ar priimsite šitai kaip dovaną nuo manęs?	Will you accept this as a present from me?
Ir̃ ar̃ galiù tuõ pačiù paprašýti jū́sų rañkos?	Ir ar galiu tuo pačiu paprašyti jūsų rankos?	And may I at the same time ask for your hand?
Tikiúosi, màno vaikè, suprantì šiõs prógos rimtùmą.	Tikiuosi, mano vaike, supranti šios progos rimtumą.	I hope, my child, you realize the seriousness of this occasion.
Màno vestùvės taĩp pàt bùvo labaĩ grãžios.	Mano vestuvės taip pat buvo labai gražios.	My wedding was beautiful, too.
Jìs vė̃l demonstruõs víeną sàvo triùkų.	Jis vėl demonstruos vieną savo triukų.	He'll do one of his tricks again.
Tõ nebùs, kõl àš turiù beñt ceñtą!	To nebus, kol aš turiu bent centą!	Not as long as I own a penny!
Kàs manaĩsi esą̃s, vadìndamas juõs "netašýta bandà"?	Kas manaisi esąs, vadindamas juos "netašyta banda"?	Who do you think you are, calling them an "ignorant bunch"?
Bèt tàvo výras tàps dìdele žvaigždè!	Bet tavo vyras taps didele žvaigžde!	But your husband has become a big shot!
Pažiūrė́k į̃ kontrãktą, kurį̃ patvìrtinau telegrafù.	Pažiūrėk į kontraktą, kurį patvirtinau telegrafu.	Look at the contract, sealed via telegraph.
Niẽkad nemaniaũ, kàd vė̃l šliaũšiu į̃ šìtą skỹlę.	Niekad nemaniau, kad vėl šliaušiu į šitą skylę.	I'd never thought I'd be crawling back into this hole again.
Jū̃s taĩp pàt nenùmetėt daũg svõrio.	Jūs taip pat nenumetėt daug svorio.	You haven't lost much weight, either.
Dár pasimatýsim, bèt tikiúosi nè per̃ artimiáusius dẽšimt mẽtų.	Dar pasimatysim, bet tikiuosi ne per artimiausius dešimt metų.	See you, but not in the next ten years, I hope.
Dár saváitė sù juõ ir̃ bū́čiau galė́jęs bankrutúoti.	Dar savaitė su juo ir būčiau galėjęs bankrutuoti.	One more week with him, and I could have closed down.
Bèt visuomèt prisimiñk, kàd jì plėšrū̃nė Sáugokis blondìnių	Bet visuomet prisimink, kad ji plėšrūnė Saugokis blondinių	But always remember she's a predator watch out forblondes
Šìs vãkaras nulem̃s vìsą tàvo karjèrą.	Šis vakaras nulems visą tavo karjerą.	This evening will determine your whole career.
Jéi vãkaras geraĩ nusisèks, vadìnasi táu pavỹko.	Jei vakaras gerai nusiseks, vadinasi tau pavyko.	If everything goes well, you've got it made.
Àš taĩp pàt jaučiaũsi priẽš pìrmą pasiródymą.	Aš taip pat jaučiausi prieš pirmą pasirodymą.	I felt the same way the first time around.
Kaĩ pamataũ grãžią móterį, tampù agresyvùs.	Kai pamatau gražią moterį, tampu agresyvus.	When I see a beautiful woman, I go on the offensive.
Kaĩ tìk àš gẽros núotaikos, tù sténgiesi ją̃ sugadìnti!	Kai tik aš geros nuotaikos, tu stengiesi ją sugadinti!	Every time I'm in a good mood you try to spoil it!
Nà, taĩp bū̃na nèt ir̃ geriáusiose šeimosè!	Na, taip būna net ir geriausiose šeimose!	Well, that happens in the best families!
Põnai ir̃ põnios, prašaũ atleistì ùž vėlãvimą...	Ponai ir ponios, prašau atleisti už vėlavimą...	Ladies and gentlemen, I apologize for the delay...
Kaĩp mataũ, vìsiškai nereĩkia tolesnių̃ pristãtymų...	Kaip matau, visiškai nereikia tolesnių pristatymų...	I can see you don't need any further introduction...
Põnai ir̃ põnios, léiskite jùms pristatýti...	Ponai ir ponios, leiskite jums pristatyti...	Ladies and gentlemen, allow me to introduce to you...
Ar̃ bū́tumėt tóks malonùs ir̃ išbùrtumėt mán kelìs?	Ar būtumėt toks malonus ir išburtumėt man kelis?	Would you be so kind to conjure some up for me?
Ìš Augùsto nósies àš dabar̃ ištráuksiu kelìs kiaušiniùs.	Iš Augusto nosies aš dabar ištrauksiu kelis kiaušinius.	From under August's nose, I will now conjure up some eggs.
Jū̃s mãnote, kàd Augùstas tùri kiaušiniùs añt galvõs.	Jūs manote, kad Augustas turi kiaušinius ant galvos.	You all think August has the eggs under his head.
